email,label
Claim your free iPhone now click here,phishing
Your account has been suspended verify immediately,phishing
Urgent update your bank details now,phishing
You won a lottery claim prize today,phishing
Click this link to secure your account,phishing
Meeting scheduled for tomorrow morning,safe
Project report attached for review,safe
Thank you for your recent purchase,safe
Let's have lunch tomorrow,safe
Your order has been shipped successfully,safe
Please review the attached document,safe
Monthly salary has been credited,safe
